codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
610;Comisión Nacional de Energía;6938;Comisión Nacional de Energía;Región Metropolitana de Santiago;Santiago Centro;2
611669;Superintendencia del Medio Ambiente -Nivel Central;1203668;Superintendencia del Medio Ambiente;;;4
612;Servicio Agricola y Ganadero (SAG central);6919;SERVICIO AGRICOLA Y GANADERO;Región Metropolitana de Santiago;Santiago Centro;15
614;SEREMI MINVU I REGION;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región de Tarapacá;Iquique;1
617807;Hospital San Juan de Dios de Los Andes;1214332;SERV NAC SALUD HOSPITAL DE LOS ANDES;Región de Valparaíso;Los Andes;26
618;Subgerencia de Administración;6942;CORPORACION DE FOMENTO DE LA PRODUCCION;Región Metropolitana de Santiago;Santiago Centro;10
618923;Subsecretaría para las Fuerzas Armadas;1216382;SUBSECRETARIA PARA LAS FUERZAS ARMADAS;Región Metropolitana de Santiago;Santiago;1
619;SUBSECRETARIA DEL MINISTERIO DE HACIENDA;6943;SUBSECRETARIA DEL MINISTERIO DE HACIENDA;Región Metropolitana de Santiago;Santiago;1
619133;Hospital San Camilo de San Felipe;1216718;SERVICIO SALUD SAN FELIPE LOS ANDES HOSP;Región de Valparaíso;San Felipe;25
619284;Programa de Vialidad y Transporte Urbano - Sectra;7007;SUBSECRETARIA DE TRANSPORTES;Región Metropolitana de Santiago;Alhué;3
620039;ISL Region de Los Rios;6953;INSTITUTO DE SEGURIDAD LABORAL;Región Metropolitana de Santiago;Santiago Centro;4
620279;BASE NAVAL PUERTO MONTT;111875;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;;;7
620332;FCFM-PROYECTO FONDAP GEOTERMIA	;7251;UNIVERSIDAD DE CHILE;Región Metropolitana de Santiago;Santiago Centro;1
621451;Subsecretaría de Turismo;1220768;SUBSECRETARIA DE TURISMO;Región Metropolitana de Santiago;Santiago Centro;11
621923;Regimiento de Inteligencia del Ejército N2 Llaitún;111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;Peñalolén;1
622;Tesorería General de la República;6956;TESORERIA GENERAL DE LA REPUBLICA;Región Metropolitana de Santiago;Santiago Centro;3
622134;JAL - Estado Mayor General del Ejército;111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;Santiago Centro;10
622847;DEPARTAMENTO DE INVERSIÓN E INFRAESTRUCTURA PATRIM;7011;SERVICIO NACIONAL DEL PATRIMONIO CULTURAL;Región Metropolitana de Santiago;Santiago Centro;7
623;Ministerio del Interior;6944;SUBSECRETARIA DEL INTERIOR;Región Metropolitana de Santiago;Santiago;13
624;Compra Regional;6940;GOBIERNO REGIONAL IV REGION COQUIMBO;Región de Coquimbo;La Serena;4
625;Escuadrilla de Abastecimiento BALCE;6946;FUERZA AEREA DE CHILE COMANDO LOGISTICO;Región Metropolitana de Santiago;Cerrillos;3
626529;DIDECO;142855;I MUNICIPALIDAD DE SAN PEDRO;Región Metropolitana de Santiago;San Pedro;2
626802;Consejo Resolutivo de Asignaciones Parlamentaria;1230073;Consejo Resolutivo de Asignaciones Parlamentaria;Región Metropolitana de Santiago;Santiago;1
627786;Escuela Formación Grupo Ovalle;113812;DIRECCION DE LOGISTICA DE CARABINEROS;Región de Coquimbo;Ovalle;4
628;Abastecimiento Central;6948;SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO;Región Metropolitana de Santiago;Santiago;5
629373;Corporación Municipal de San Miguel;1232694;CORP MUNICIPAL DE SAN MIGUEL;Región Metropolitana de Santiago;San Miguel;1
630;Subsecretaria del Trabajo;6939;SUBSECRETARIA DEL TRABAJO;Región Metropolitana de Santiago;Santiago;1
633;Conaf - Oficina Central - Abastecimiento;6924;CORP NACIONAL FORESTAL;Región Metropolitana de Santiago;Santiago;23
